<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.03	1827.360	1849.880	1823.640	1839.270	129673	0	150
2023.01.04	1838.410	1865.070	1836.080	1854.200	134895	0	150
2023.01.05	1854.060	1858.970	1825.040	1832.920	122775	0	150
2023.01.06	1830.310	1869.750	1830.110	1866.410	114984	0	150
2023.01.09	1867.570	1881.440	1864.220	1871.470	107333	0	150
2023.01.10	1870.860	1880.690	1867.660	1877.060	115412	0	150
2023.01.11	1876.160	1886.530	1867.040	1875.790	106339	0	150
2023.01.12	1875.010	1901.520	1867.220	1897.190	151768	0	150
2023.01.13	1895.210	1921.830	1892.260	1920.610	142623	0	110
2023.01.16	1918.820	1928.920	1910.790	1913.360	83018	0	150
2023.01.17	1915.830	1918.980	1903.660	1908.230	125749	0	150
2023.01.18	1907.860	1925.840	1896.480	1903.990	162036	0	160
2023.01.19	1904.210	1935.110	1900.940	1931.540	146574	0	150
2023.01.20	1931.800	1937.490	1920.610	1926.700	118132	0	150
2023.01.23	1925.460	1935.480	1911.350	1931.440	121880	0	150
2023.01.24	1930.600	1942.470	1917.140	1937.220	120022	0	150
2023.01.25	1936.900	1948.020	1919.850	1946.290	111880	0	150
2023.01.26	1946.000	1949.110	1918.530	1929.100	118406	0	150
2023.01.27	1927.500	1934.980	1916.570	1928.190	102090	0	150
2023.01.30	1928.500	1934.400	1920.640	1922.970	98996	0	150
2023.01.31	1922.320	1931.130	1900.740	1927.970	120542	0	150
2023.02.01	1927.660	1954.510	1920.490	1950.030	136832	0	150
2023.02.02	1950.550	1959.660	1911.280	1912.430	170539	0	150
2023.02.03	1911.400	1918.510	1861.360	1865.650	164754	0	150
2023.02.06	1860.650	1881.350	1859.760	1867.510	137706	0	150
2023.02.07	1867.120	1884.390	1864.960	1872.070	149624	0	150
2023.02.08	1872.250	1886.360	1868.930	1875.690	111490	0	150
2023.02.09	1875.100	1890.230	1858.870	1861.120	124665	0	150
2023.02.10	1861.470	1872.140	1852.740	1865.450	127644	0	150
2023.02.13	1863.710	1866.490	1850.450	1853.740	101987	0	150
2023.02.14	1852.750	1870.630	1843.200	1854.370	150556	0	150
2023.02.15	1853.370	1860.120	1830.450	1836.120	120615	0	150
2023.02.16	1835.200	1845.280	1827.600	1836.160	130018	0	150
2023.02.17	1836.370	1843.540	1818.870	1841.930	123305	0	150
2023.02.20	1840.320	1847.490	1837.300	1841.310	63643	0	150
2023.02.21	1840.850	1843.820	1830.220	1834.860	125633	0	150
2023.02.22	1834.470	1846.010	1823.490	1825.170	127456	0	150
2023.02.23	1824.970	1833.710	1817.460	1822.120	119320	0	150
2023.02.24	1821.810	1827.780	1808.910	1811.170	129499	0	150
2023.02.27	1811.050	1820.130	1806.610	1817.120	111132	0	150
2023.02.28	1816.700	1831.140	1804.600	1826.990	113103	0	150
2023.03.01	1826.170	1844.600	1823.060	1836.700	123676	0	150
2023.03.02	1836.380	1838.970	1829.920	1835.880	120882	0	150
2023.03.03	1835.670	1856.330	1834.350	1854.790	115511	0	150
2023.03.06	1853.950	1858.270	1845.070	1847.000	107710	0	150
2023.03.07	1845.850	1851.630	1812.650	1813.440	144048	0	150
2023.03.08	1813.250	1824.260	1809.350	1813.520	131162	0	150
2023.03.09	1813.170	1835.630	1811.870	1830.860	122076	0	150
2023.03.10	1830.970	1869.970	1827.690	1867.390	210955	0	150
2023.03.13	1878.430	1914.590	1871.470	1913.760	292902	0	150
2023.03.14	1912.160	1914.120	1895.340	1903.580	220465	0	150
2023.03.15	1904.290	1937.310	1885.650	1918.000	232965	0	150
2023.03.16	1919.050	1933.460	1907.480	1919.690	222693	0	150
2023.03.17	1919.740	1987.710	1918.200	1986.130	183351	0	150
2023.03.20	1985.270	2009.750	1965.800	1978.750	210003	0	150
2023.03.21	1978.670	1985.150	1935.360	1940.350	166189	0	150
2023.03.22	1939.620	1978.780	1934.240	1968.050	176530	0	150
2023.03.23	1967.720	2003.300	1964.400	1993.030	195213	0	150
2023.03.24	1992.640	2003.080	1975.130	1977.530	195912	0	150
2023.03.27	1978.150	1979.470	1943.930	1956.070	147991	0	150
2023.03.28	1955.670	1975.280	1949.090	1973.700	131242	0	150
2023.03.29	1972.280	1974.350	1958.610	1964.530	95822	0	150
2023.03.30	1963.320	1984.260	1955.310	1979.880	115362	0	150
2023.03.31	1979.770	1987.520	1966.830	1969.220	119148	0	150
2023.04.03	1972.570	1990.510	1949.700	1984.040	125656	0	150
2023.04.04	1983.470	2025.000	1976.870	2020.440	121844	0	150
2023.04.05	2020.360	2032.140	2009.890	2020.230	115966	0	150
2023.04.06	2020.470	2021.280	2000.810	2007.470	103657	0	150
2023.04.10	1998.800	2006.340	1981.560	1991.260	82442	0	150
2023.04.11	1990.980	2007.460	1988.780	2003.280	90827	0	150
2023.04.12	2002.970	2028.250	2001.310	2014.690	133315	0	150
2023.04.13	2013.650	2048.650	2013.350	2040.750	114488	0	150
2023.04.14	2039.750	2047.400	1992.360	2004.550	143364	0	150
2023.04.17	1998.150	2014.990	1981.080	1995.030	115768	0	150
2023.04.18	1994.970	2011.800	1991.220	2004.640	99522	0	150
2023.04.19	2004.970	2008.130	1969.190	1994.920	127786	0	150
2023.04.20	1993.670	2012.320	1990.450	2004.660	117058	0	150
2023.04.21	2004.160	2005.500	1971.500	1982.640	124960	0	150
2023.04.24	1980.870	1990.790	1974.050	1988.880	107598	0	150
2023.04.25	1988.970	2003.820	1976.050	1996.530	133104	0	150
2023.04.26	1996.350	2009.330	1983.270	1989.140	132562	0	150
2023.04.27	1989.250	2003.380	1973.980	1987.600	125917	0	150
2023.04.28	1987.350	1995.020	1975.980	1989.660	144331	0	150
2023.05.01	1990.250	2006.000	1977.030	1982.460	111440	0	150
2023.05.02	1980.350	2019.350	1978.410	2016.620	129111	0	150
2023.05.03	2016.530	2039.360	2005.220	2038.940	132325	0	150
2023.05.04	2042.770	2077.890	2030.280	2050.440	190679	0	150
2023.05.05	2048.650	2052.960	1999.440	2015.840	132290	0	150
2023.05.08	2014.570	2029.340	2014.050	2021.340	91482	0	150
2023.05.09	2020.370	2037.540	2019.420	2034.400	93796	0	150
2023.05.10	2033.770	2048.140	2021.460	2029.980	119692	0	150
2023.05.11	2029.830	2041.160	2011.080	2014.970	136252	0	150
2023.05.12	2014.970	2022.540	2000.850	2010.810	110562	0	150
2023.05.15	2007.970	2022.140	2007.090	2015.960	113763	0	150
2023.05.16	2015.370	2018.280	1985.410	1988.680	138882	0	150
2023.05.17	1988.170	1993.010	1974.950	1981.810	128252	0	150
2023.05.18	1981.320	1985.980	1951.930	1957.290	132159	0	150
2023.05.19	1957.370	1984.150	1953.990	1977.560	150288	0	150
2023.05.22	1977.570	1982.530	1968.820	1971.660	131700	0	150
2023.05.23	1971.670	1977.700	1954.210	1975.210	148143	0	150
2023.05.24	1974.770	1985.240	1956.670	1957.590	145682	0	150
2023.05.25	1956.270	1964.720	1938.820	1940.490	150051	0	150
2023.05.26	1940.440	1957.220	1936.720	1946.500	131416	0	150
2023.05.29	1942.670	1949.670	1940.180	1944.590	46475	0	150
2023.05.30	1943.870	1963.480	1932.000	1959.830	135659	0	150
2023.05.31	1959.330	1974.730	1953.630	1963.050	143964	0	150
2023.06.01	1962.370	1983.060	1953.350	1977.810	141740	0	150
2023.06.02	1977.630	1983.390	1947.930	1948.210	136932	0	150
2023.06.05	1945.950	1963.970	1938.110	1961.590	125564	0	150
2023.06.06	1961.600	1966.320	1954.300	1963.020	117765	0	150
2023.06.07	1963.080	1970.150	1939.790	1940.010	144034	0	150
2023.06.08	1940.170	1970.560	1939.630	1965.380	138433	0	150
2023.06.09	1965.470	1973.070	1956.610	1960.560	119006	0	150
2023.06.12	1960.000	1966.940	1949.170	1956.880	124858	0	150
2023.06.13	1957.370	1971.120	1940.010	1942.970	154874	0	150
2023.06.14	1943.570	1960.280	1939.860	1939.940	148689	0	150
2023.06.15	1941.320	1960.210	1924.620	1957.940	160854	0	150
2023.06.16	1957.680	1967.860	1953.250	1957.360	136561	0	150
2023.06.19	1957.420	1958.700	1947.720	1951.720	67668	0	150
2023.06.20	1950.670	1956.730	1929.710	1935.620	139978	0	150
2023.06.21	1935.810	1939.440	1919.150	1932.250	150427	0	150
2023.06.22	1931.470	1934.800	1912.310	1913.150	131382	0	150
2023.06.23	1913.300	1937.320	1909.890	1921.320	137641	0	150
2023.06.26	1925.170	1933.320	1921.490	1922.960	98967	0	150
2023.06.27	1922.750	1930.640	1910.840	1913.000	103710	0	150
2023.06.28	1913.270	1917.110	1902.770	1906.830	104447	0	150
2023.06.29	1907.470	1913.100	1892.910	1908.070	111262	0	150
2023.06.30	1907.570	1922.690	1900.530	1919.190	105108	0	150
2023.07.03	1919.170	1930.900	1909.930	1923.520	85467	0	150
2023.07.04	1921.380	1930.630	1919.740	1924.630	41749	0	150
2023.07.05	1926.090	1935.000	1914.760	1914.760	97073	0	150
2023.07.06	1914.550	1927.560	1902.590	1910.630	118549	0	150
2023.07.07	1910.470	1934.820	1909.560	1925.040	110440	0	150
2023.07.10	1924.770	1928.130	1912.520	1925.040	93270	0	150
2023.07.11	1925.170	1938.400	1924.290	1932.110	94133	0	150
2023.07.12	1931.500	1959.660	1931.500	1957.500	114417	0	150
2023.07.13	1956.640	1963.540	1952.320	1960.310	111819	0	150
2023.07.14	1959.270	1963.690	1950.910	1955.190	111546	0	150
2023.07.17	1953.750	1959.800	1945.740	1954.820	91434	0	150
2023.07.18	1954.370	1984.290	1954.370	1978.850	123292	0	150
2023.07.19	1978.350	1980.860	1969.740	1976.590	100600	0	150
2023.07.20	1976.670	1987.390	1965.310	1969.440	111668	0	150
2023.07.21	1969.570	1973.710	1956.760	1961.850	98307	0	150
2023.07.24	1961.570	1967.800	1953.370	1954.510	98541	0	150
2023.07.25	1954.650	1965.650	1951.330	1964.780	91145	0	150
2023.07.26	1964.370	1978.260	1961.990	1972.030	110280	0	150
2023.07.27	1970.710	1982.110	1942.560	1944.720	129190	0	150
2023.07.28	1945.670	1963.460	1945.390	1959.030	121134	0	150
2023.07.31	1958.970	1972.350	1950.590	1965.630	96719	0	150
2023.08.01	1965.370	1966.030	1941.220	1944.140	101996	0	150
2023.08.02	1944.090	1954.770	1932.900	1934.620	109626	0	150
2023.08.03	1934.210	1938.800	1929.240	1934.180	106278	0	150
2023.08.04	1934.150	1946.820	1922.300	1942.710	107809	0	150
2023.08.07	1942.150	1946.650	1931.440	1936.200	74377	0	150
2023.08.08	1936.030	1938.060	1922.650	1924.680	97487	0	150
2023.08.09	1924.870	1932.300	1914.010	1914.490	81469	0	150
2023.08.10	1914.550	1929.890	1911.950	1912.260	105990	0	150
2023.08.11	1912.270	1920.890	1910.610	1913.720	83367	0	150
2023.08.14	1913.170	1916.180	1902.630	1907.150	90813	0	150
2023.08.15	1907.300	1911.610	1896.050	1901.560	111119	0	150
2023.08.16	1901.500	1907.170	1891.690	1892.440	93154	0	150
2023.08.17	1891.970	1903.390	1884.740	1888.890	105830	0	150
2023.08.18	1889.440	1896.710	1886.690	1889.560	84400	0	150
2023.08.21	1889.070	1898.690	1884.810	1894.550	95320	0	150
2023.08.22	1894.350	1904.450	1888.870	1897.240	88870	0	150
2023.08.23	1896.620	1920.330	1896.620	1915.350	99360	0	150
2023.08.24	1914.950	1923.310	1911.710	1916.950	89395	0	150
2023.08.25	1916.090	1922.340	1903.700	1913.930	99475	0	150
2023.08.28	1915.050	1925.980	1912.590	1919.960	70392	0	150
2023.08.29	1919.970	1938.130	1914.350	1937.530	93838	0	150
2023.08.30	1937.530	1948.980	1934.930	1942.380	96544	0	150
2023.08.31	1942.540	1947.720	1938.850	1939.930	91757	0	150
2023.09.01	1940.010	1952.870	1934.340	1939.930	120033	0	150
2023.09.04	1939.950	1946.260	1936.680	1938.310	51357	0	150
2023.09.05	1938.350	1938.910	1925.090	1925.930	101937	0	150
2023.09.06	1925.730	1929.170	1915.250	1916.210	103614	0	150
2023.09.07	1916.210	1923.480	1916.070	1919.520	89475	0	150
2023.09.08	1919.470	1929.570	1917.110	1919.050	81687	0	150
2023.09.11	1919.530	1930.400	1916.290	1922.310	85763	0	150
2023.09.12	1922.750	1924.310	1907.290	1913.310	77974	0	150
2023.09.13	1912.390	1915.720	1905.380	1908.140	95225	0	150
2023.09.14	1908.140	1912.840	1900.770	1910.410	114785	0	150
2023.09.15	1910.620	1930.390	1909.710	1923.480	102012	0	150
2023.09.18	1923.750	1934.170	1921.260	1933.550	79989	0	150
2023.09.19	1933.720	1937.370	1929.740	1931.180	68536	0	150
2023.09.20	1931.490	1947.390	1927.690	1929.390	104738	0	150
2023.09.21	1930.820	1931.430	1913.710	1919.880	106537	0	150
2023.09.22	1919.880	1929.060	1919.220	1925.080	79286	0	150
2023.09.25	1925.130	1927.130	1914.990	1915.950	76433	0	150
2023.09.26	1915.900	1916.730	1899.020	1900.380	85206	0	150
2023.09.27	1900.610	1903.720	1872.200	1875.190	103515	0	150
2023.09.28	1875.020	1879.250	1857.470	1865.240	118183	0	150
2023.09.29	1865.230	1879.740	1846.260	1849.040	118060	0	150
2023.10.02	1845.390	1848.850	1827.010	1828.030	120927	0	150
2023.10.03	1828.260	1833.090	1815.120	1823.200	147159	0	150
2023.10.04	1822.290	1830.590	1816.520	1820.820	142361	0	150
2023.10.05	1821.550	1829.140	1812.760	1820.190	109618	0	150
2023.10.06	1819.440	1834.850	1810.300	1831.510	133404	0	150
2023.10.09	1847.580	1863.440	1844.180	1861.420	104221	0	150
2023.10.10	1861.250	1865.300	1852.800	1860.020	115789	0	150
2023.10.11	1859.620	1877.140	1858.620	1873.580	117442	0	150
2023.10.12	1873.580	1884.970	1867.870	1868.760	112472	0	150
2023.10.13	1868.710	1930.720	1868.560	1930.090	143123	0	150
2023.10.16	1928.060	1929.310	1908.050	1919.750	117267	0	150
2023.10.17	1920.060	1931.540	1912.370	1922.940	112600	0	150
2023.10.18	1923.670	1962.620	1923.240	1947.830	136820	0	150
2023.10.19	1947.630	1977.660	1945.190	1974.130	150352	0	150
2023.10.20	1974.450	1997.230	1971.980	1980.270	150448	0	150
2023.10.23	1967.070	1982.770	1964.330	1972.700	132818	0	150
2023.10.24	1972.520	1980.830	1953.160	1971.000	127338	0	150
2023.10.25	1971.090	1987.180	1962.630	1979.570	111236	0	150
2023.10.26	1979.570	1993.410	1971.750	1984.510	122022	0	150
2023.10.27	1984.420	2009.410	1976.820	2005.590	119737	0	150
2023.10.30	2002.980	2006.730	1990.840	1996.140	104938	0	150
2023.10.31	1996.250	2007.740	1978.670	1983.930	117441	0	150
2023.11.01	1983.660	1992.000	1969.820	1982.240	117807	0	150
2023.11.02	1982.030	1990.970	1978.750	1985.880	91399	0	150
2023.11.03	1985.950	2003.990	1983.200	1992.500	103992	0	150
2023.11.06	1992.140	1993.040	1977.320	1978.030	80966	0	150
2023.11.07	1977.660	1978.340	1956.540	1968.860	93507	0	150
2023.11.08	1969.030	1970.970	1947.360	1950.370	87425	0	150
2023.11.09	1950.970	1965.560	1944.380	1958.660	104582	0	150
2023.11.10	1958.470	1960.800	1932.960	1937.790	98408	0	150
2023.11.13	1940.580	1949.160	1928.830	1946.070	80106	0	160
2023.11.14	1946.130	1970.910	1935.410	1963.360	83968	0	160
2023.11.15	1962.580	1975.090	1955.360	1959.440	92345	0	160
2023.11.16	1960.010	1987.940	1956.450	1981.240	88739	0	160
2023.11.17	1981.120	1993.310	1978.560	1980.400	85401	0	160
2023.11.20	1978.190	1985.110	1965.380	1977.520	98471	0	160
2023.11.21	1977.860	2007.550	1977.670	1998.560	106068	0	160
2023.11.22	1998.980	2006.340	1986.810	1990.010	98467	0	160
2023.11.23	1989.860	1998.510	1989.470	1992.330	47103	0	160
2023.11.24	1992.610	2003.620	1991.340	2002.070	65025	0	160
2023.11.27	2000.990	2017.980	2000.450	2014.050	94875	0	160
2023.11.28	2014.050	2042.990	2011.530	2041.250	102178	0	160
2023.11.29	2040.470	2051.910	2035.240	2044.080	112123	0	160
2023.11.30	2045.140	2047.130	2031.170	2036.010	94748	0	160
2023.12.01	2037.110	2075.310	2033.890	2071.390	118430	0	160
2023.12.04	2072.400	2145.770	2020.040	2028.910	170519	0	160
2023.12.05	2029.250	2041.140	2009.700	2019.110	130801	0	160
2023.12.06	2018.490	2035.820	2017.190	2025.290	109418	0	160
2023.12.07	2025.290	2039.920	2020.140	2028.510	117534	0	160
2023.12.08	2028.550	2033.920	1994.630	2004.020	132175	0	160
2023.12.11	2004.700	2007.760	1975.760	1981.670	104456	0	160
2023.12.12	1982.040	1996.690	1977.150	1979.260	100459	0	160
2023.12.13	1978.970	2027.400	1972.940	2026.330	115942	0	160
2023.12.14	2026.250	2047.890	2024.430	2035.780	159745	0	160
2023.12.15	2036.230	2044.840	2015.550	2018.410	124361	0	160
2023.12.18	2019.850	2033.610	2015.840	2027.060	84318	0	160
2023.12.19	2027.470	2046.910	2021.640	2040.540	92024	0	160
2023.12.20	2040.390	2043.420	2027.410	2030.890	90850	0	160
2023.12.21	2031.980	2045.930	2031.420	2045.790	94313	0	160
2023.12.22	2048.150	2070.620	2046.660	2052.920	112852	0	160
2023.12.26	2064.230	2068.960	2054.390	2067.310	35967	0	160
2023.12.27	2068.030	2084.470	2061.420	2077.150	80614	0	160
2023.12.28	2077.150	2088.390	2064.530	2065.520	95009	0	160
2023.12.29	2066.030	2074.680	2058.200	2062.790	90799	0	160
2024.01.02	2074.170	2078.880	2055.790	2058.950	90561	0	160
2024.01.03	2058.640	2065.890	2030.280	2041.040	135862	0	160
2024.01.04	2041.980	2050.960	2036.240	2043.490	100010	0	160
2024.01.05	2043.400	2063.920	2024.350	2044.960	142793	0	160
2024.01.08	2043.530	2046.510	2016.570	2027.910	122867	0	160
2024.01.09	2027.990	2041.940	2026.070	2030.030	115144	0	160
2024.01.10	2030.200	2040.170	2020.460	2024.060	120927	0	160
2024.01.11	2024.940	2040.330	2013.210	2028.670	151769	0	160
2024.01.12	2028.350	2062.200	2028.350	2048.690	142935	0	160
2024.01.15	2048.550	2058.560	2045.770	2055.750	65373	0	160
2024.01.16	2055.360	2055.450	2024.210	2028.140	147267	0	160
2024.01.17	2027.150	2032.890	2001.740	2006.130	125202	0	160
2024.01.18	2006.750	2023.180	2005.760	2022.780	101710	0	160
2024.01.19	2024.150	2039.360	2020.290	2029.190	94816	0	160
2024.01.22	2029.750	2032.050	2016.390	2021.100	98172	0	160
2024.01.23	2021.140	2037.850	2019.540	2029.000	102861	0	160
2024.01.24	2028.710	2036.630	2011.160	2014.290	114007	0	160
2024.01.25	2014.610	2025.310	2008.900	2019.890	107541	0	160
2024.01.26	2019.760	2026.770	2015.890	2018.400	84985	0	160
2024.01.29	2024.320	2037.520	2019.250	2031.790	97738	0	160
2024.01.30	2032.140	2048.560	2028.950	2036.390	96499	0	160
2024.01.31	2036.950	2055.950	2030.810	2038.720	141866	0	160
2024.02.01	2039.700	2065.450	2029.950	2054.500	141326	0	160
2024.02.02	2054.060	2057.590	2027.580	2039.570	115555	0	160
2024.02.05	2038.510	2042.140	2014.790	2026.890	188141	0	90
